Car Make,Car Model,Price,Fuel Type,Transmission Type,Available Color Variants Count,Available Colors (Detailed),Location Details
Tata,Punch Pure,₹6.41 L,Petrol,Manual,Available in 2 colors,Orcus White (#f1f6f9); Daytona Grey (#7c858c),N/A
Tata,Punch Pure(O),₹7.49 L,Petrol,Manual,Available in 2 colors,Daytona Grey (#7c858c); Orcus White (#f1f6f9),N/A
Tata,Punch Adventure,₹7.87 L,Petrol,Manual,Available in 4 colors,Orcus White (#f1f6f9); Daytona Grey (#7c858c); Atomic Orange (#df5d20); Tropical Mist (#6b8ea2),N/A
Tata,Punch Pure CNG,₹7.92 L,CNG,Manual,Available in 2 colors,Orcus White (#f1f6f9); Daytona Grey (#7c858c),N/A
Tata,Punch Adventure Plus,₹8.26 L,Petrol,Manual,Available in 4 colors,Daytona Grey (#38393b); Calypso Red (#c32228); Tropical Mist (#7491a9); Orcus White (#fefefe),N/A
Tata,Punch Adventure CNG,₹8.82 L,CNG,Manual,Available in 4 colors,Orcus White (#f1f6f9); Daytona Grey (#7c858c); Atomic Orange (#df5d20); Tropical Mist (#6b8ea2),N/A
Tata,Punch Adventure Plus AMT,₹8.92 L,Petrol,Automatic,Available in 4 colors,Orcus White (#fefefe); Calypso Red (#c32228); Daytona Grey (#38393b); Tropical Mist (#7491a9),N/A
Tata,Punch Adventure Plus S,₹9.03 L,Petrol,Manual,Available in 4 colors,Orcus White (#f1f6f9); Calypso Red (#ac1013); Tropical Mist (#6b8ea2); Daytona Grey (#7c858c),N/A
Tata,Punch Adventure Plus CNG,₹9.21 L,CNG,Manual,Available in 4 colors,Orcus White (#fefefe); Daytona Grey (#38393b); Calypso Red (#c32228); Tropical Mist (#7491a9),N/A
Tata,Punch Accomplished Plus,₹9.25 L,Petrol,Manual,Available in 5 colors,Daytona Grey (#7c858c); Calypso Red (#ac1013); Meteor Bronze (#937a52); Tropical Mist (#6b8ea2); Orcus White (#f1f6f9),N/A
Tata,Punch Adventure S CNG,₹9.43 L,CNG,Manual,Available in 4 colors,Orcus White (#f1f6f9); Daytona Grey (#7c858c); Calypso Red (#ac1013); Tropical Mist (#6b8ea2),N/A
Tata,Punch Adventure Plus S AMT,₹9.69 L,Petrol,Automatic,Available in 4 colors,Daytona Grey (#7c858c); Calypso Red (#ac1013); Tropical Mist (#6b8ea2); Orcus White (#f1f6f9),N/A
Tata,Punch Adventure Plus S CNG,₹9.98 L,CNG,Manual,Available in 4 colors,Daytona Grey (#7c858c); Orcus White (#f1f6f9); Calypso Red (#ac1013); Tropical Mist (#6b8ea2),N/A
Tata,Punch Accomplished Plus Camo AMT,₹10.08 L,Petrol,Automatic,Available in 1 colors,"Seaweed Green With White Roof (#373e32, #f8ffff)",N/A
